Name,POS,Average,Median,Minimum,Maximum,Last 10,Roster%,norm
Colton Cowser BAL,OF,5.34,5.0,1,18,3.3,57.267%,colton cowser
Kyren Paris LAA AAA,2B/SS/OF,5.33,5.0,5,6,1.7,0.872%,kyren paris laa
Alec Bohm PHI,1B/3B,5.29,5.0,1,20,3.0,71.221%,alec bohm
Mickey Moniak COL,OF,5.28,4.0,1,17,3.6,100%,mickey moniak
Trevor Story BOS,SS,5.2,4.0,1,19,2.9,47.384%,trevor story
JJ Wetherholt STL,2B/SS,5.19,5.0,1,21,9.7,100%,jj wetherholt
Andrew Abbott CIN,SP,5.1,4.0,1,15,2.3,83.14%,andrew abbott
Brenton Doyle COL,OF,5.09,5.0,1,13,2.2,19.477%,brenton doyle
Addison Barger TOR,3B/OF,5.09,5.0,1,12,3.0,61.919%,addison barger
Parker Messick CLE,SP,5.08,4.0,1,14,6.0,99.709%,parker messick
Luis Gil NYY,SP,5.05,5.0,1,13,2.8,16.57%,luis gil
Esmerlyn Valdez PIT,OF,5.05,5.0,1,17,5.6,98.256%,esmerlyn valdez
Masyn Winn STL,SS,5.0,5.0,1,13,4.0,80.523%,masyn winn
Abner Uribe MIL,RP,5.0,4.0,2,22,4.1,100%,abner uribe
Jose Miranda SDP AAA,3B,5.0,5.0,5,5,1.5,0.291%,jose miranda sdp
Giovanny Gallegos FA,RP,5.0,5.0,5,5,1.2,0.291%,giovanny gallegos
Brendan Rodgers BOS,2B,5.0,5.0,5,5,1.6,0.291%,brendan rodgers
Brett Wisely ATL AAA,2B/SS,5.0,5.0,5,5,1.4,0.291%,brett wisely atl
Jason Delay BOS AAA,C,5.0,5.0,5,5,1.1,0.291%,jason delay bos
Starling Marte KCR,OF,5.0,5.0,5,5,1.1,0.291%,starling marte
David Robertson FA,RP,5.0,5.0,5,5,1.8,0.291%,david robertson
Michael Toglia CIN AAA,1B,5.0,5.0,5,5,2.5,0.291%,michael toglia cin
Yariel Rodriguez TOR AAA,RP,5.0,5.0,5,5,1.6,0.291%,yariel rodriguez tor
Nick Sandlin DET AAA,RP,5.0,5.0,5,5,1.1,0.291%,nick sandlin det
Kevin McGonigle DET,SS/3B,4.98,4.0,2,29,14.3,100%,kevin mcgonigle
Kris Bubic KCR,SP,4.97,5.0,1,21,3.6,91.57%,kris bubic
Henry Bolte ATH,OF,4.85,5.0,1,12,4.2,94.767%,henry bolte
Walker Jenkins MIN AAA,OF,4.85,5.0,1,13,5.2,98.837%,walker jenkins min
Ryan Weathers NYY,SP,4.84,5.0,1,16,4.4,98.547%,ryan weathers
Jack Leiter TEX,SP,4.83,4.0,1,16,2.6,63.663%,jack leiter
Payton Tolle BOS,SP,4.79,4.0,1,17,8.7,99.709%,payton tolle
Mitch Keller PIT,SP,4.78,4.0,1,17,2.3,69.477%,mitch keller
Matthew Boyd CHC,SP,4.77,5.0,1,12,4.7,97.384%,matthew boyd
Giancarlo Stanton NYY,OF,4.74,4.0,1,17,2.8,70.64%,giancarlo stanton
Clay Holmes NYM,SP,4.65,4.0,1,16,6.2,93.023%,clay holmes
Logan Henderson MIL,SP,4.64,4.0,1,13,6.5,99.709%,logan henderson
Brayan Bello BOS,SP/RP,4.62,3.0,1,14,2.6,24.709%,brayan bello
Matt Shaw CHC,3B/OF,4.62,5.0,1,13,3.2,82.558%,matt shaw
Trent Grisham NYY,OF,4.59,4.0,1,17,4.6,99.709%,trent grisham
Daulton Varsho TOR,OF,4.55,4.0,1,19,3.9,95.93%,daulton varsho
Sal Frelick MIL,OF,4.55,4.0,1,15,2.3,51.744%,sal frelick
Ryan O'Hearn PIT,1B/OF,4.55,4.0,1,18,4.9,100%,ryan o hearn
Emerson Hancock SEA,SP/RP,4.54,4.0,1,14,6.0,99.709%,emerson hancock
Willi Castro COL,1B/2B/SS/3B/OF,4.53,5.0,1,11,3.6,96.802%,willi castro
Merrill Kelly ARI,SP,4.48,3.0,1,13,2.1,30.523%,merrill kelly
Chase DeLauter CLE,OF,4.4,4.0,1,17,8.4,100%,chase delauter
Jonah Tong NYM AAA,SP,4.37,4.0,1,14,2.8,64.535%,jonah tong nym
Matt Wallner MIN AAA,OF,4.36,4.0,1,17,2.3,30.523%,matt wallner min
Cade Horton CHC,SP,4.35,4.0,1,15,3.7,77.326%,cade horton
Christian Walker HOU,1B,4.32,3.0,1,19,3.9,97.674%,christian walker
Emilio Pagan CIN,RP,4.32,4.0,1,21,1.6,66.86%,emilio pagan
Carson Benge NYM,OF,4.31,4.0,1,14,6.6,99.709%,carson benge
A.J. Ewing NYM,OF,4.29,4.0,1,16,5.1,99.709%,a j ewing
Max Clark DET AAA,OF,4.27,4.0,1,12,3.6,99.709%,max clark det
Luis García Jr. WSN,1B/2B,4.27,4.0,1,20,7.7,99.419%,luis garcia
Noah Cameron KCR,SP,4.26,4.0,1,12,3.4,79.942%,noah cameron
Kristian Campbell BOS AAA,1B/2B/OF,4.23,4.0,1,13,2.5,34.302%,kristian campbell bos
Gabriel Moreno ARI,C,4.19,4.0,1,14,3.9,99.128%,gabriel moreno
Ramon Laureano SDP,OF,4.19,3.5,1,10,2.5,26.163%,ramon laureano
Joey Cantillo CLE,SP/RP,4.19,4.0,1,17,5.9,99.419%,joey cantillo
Owen Caissie MIA,OF,4.18,4.0,1,11,2.7,95.93%,owen caissie
Dylan Beavers BAL,OF,4.18,4.0,1,18,3.0,72.674%,dylan beavers
Kyle Teel CHW,C,4.17,4.0,1,11,3.3,90.698%,kyle teel
Sebastian Walcott TEX AA,SS,4.17,4.0,1,10,3.7,97.384%,sebastian walcott tex
JJ Bleday CIN,OF,4.16,4.0,1,18,4.1,98.837%,jj bleday
Kade Anderson SEA AA,SP,4.14,4.0,1,16,5.2,99.709%,kade anderson sea
Jesus Made MIL AA,SS,4.12,4.0,1,21,4.9,99.709%,jesus made mil
Robert Garcia TEX,RP,4.1,4.0,1,19,3.1,32.267%,robert garcia
Moises Ballesteros CHC AAA,C,4.09,4.0,1,11,3.3,76.744%,moises ballesteros chc
Kyle Finnegan DET,RP,4.07,3.0,1,19,2.8,52.907%,kyle finnegan
Matt Brash SEA,RP,4.06,3.0,1,11,2.4,67.151%,matt brash
Chandler Simpson TBR,OF,4.04,3.0,1,22,2.6,85.174%,chandler simpson
Casey Mize DET,SP,4.01,4.0,1,15,4.4,99.709%,casey mize
Garrett Whitlock BOS,RP,4.01,3.0,1,12,3.6,99.709%,garrett whitlock
Nolan Jones CHW AAA,OF,4.0,1.0,1,14,1.2,2.035%,nolan jones chw
